job_id,learner,task,measure,batch_nr,errors,warnings,ce,bacc,logloss,auc,mcc,cost,degree,gamma,kernel,runtime_learners,timestamp,y_trafo,acq_log_ei,.already_evaluated,x_domain_cost,x_domain_gamma,x_domain_kernel,x_domain_degree
74,svm,ilpd,ce,33,0,0,0.276154295733489,0.518014705882353,0.579415761284366,0.538827222962356,0.113502059174939,-4.13152482774723,,8.82399322311794,radial,243.565,2024-07-10T22:13:22.315727Z,-6.9087547793141,,,0.0160583738903528,6795.34585074091,radial,
81,svm,ilpd,bacc,131,0,0,0.272443015780246,0.591826364692218,0.555531519105427,0.728268899023024,0.26686201534729,1.5536869880438,,-3.22724924654644,sigmoid,281.169,2024-07-10T23:19:53.965077Z,-6.90875477931536,3.74837309814682e-05,FALSE,4.72887337979793,0.0396664615108907,sigmoid,
88,svm,ilpd,logloss,234,0,0,0.287989479836353,0.522303921568627,0.514921208083977,0.745288481246157,0.116157791041995,2.44769581600926,,-4.16039224453049,sigmoid,313.750999999998,2024-07-11T00:26:01.228289Z,-6.90875477931508,4.58748183390508e-07,FALSE,11.561675775415,0.015601437141254,sigmoid,
95,svm,ilpd,auc,241,0,0,0.28968439509059,0.517612044817927,0.525224068126202,0.756133642481383,0.0843982451017447,3.09836834335301,,-3.97003522015263,sigmoid,205.514999999999,2024-07-11T00:32:01.246939Z,-6.90875477931505,3.29518007209559e-05,FALSE,22.1617613794597,0.0188727684216616,sigmoid,
102,svm,ilpd,mcc,267,0,0,0.265751022793688,0.601559831249573,0.543282079096462,0.733269710323154,0.275782695976131,-0.895880379090989,,-3.25208083064389,sigmoid,190.436999999998,2024-07-11T00:33:38.558002Z,-6.90875477931513,4.74800261277695e-07,FALSE,0.40824802735733,0.038693609157051,sigmoid,
109,svm,dresses-sales,ce,321,0,0,0.352,0.621674876847291,0.662415315581997,0.649589490968801,0.25889816193859,0.697740980293758,,-2.45749116799717,sigmoid,252.928000000005,2024-07-11T01:03:28.531641Z,-6.90875477931506,0.000127178447862759,FALSE,2.00920873481508,0.0856495620054204,sigmoid,
116,svm,dresses-sales,bacc,345,0,0,0.356,0.622824302134647,0.691033069373582,0.636288998357964,0.258880938503685,-2.99763788149021,,0.422105028826169,sigmoid,231.950000000003,2024-07-11T01:14:26.920709Z,-6.90875477931485,1.08162384432046e-05,FALSE,0.0499048103290906,1.52516870295005,sigmoid,
123,svm,dresses-sales,logloss,379,0,0,0.374,0.593513957307061,0.660466939285747,0.639080459770115,0.207349590592933,4.84660633281716,,-2.16421095214392,sigmoid,148.041999999996,2024-07-11T01:40:15.667318Z,-6.90875477931518,1.50473459770209e-06,FALSE,127.307616237236,0.11484051351801,sigmoid,
130,svm,dresses-sales,auc,396,0,0,0.378,0.588752052545156,0.669383865784172,0.643021346469622,0.194739219248269,7.32048845456982,,-2.92852085092952,sigmoid,202.226999999999,2024-07-11T01:41:55.050859Z,-6.90875477931516,4.59051252640476e-25,FALSE,1510.94181598117,0.0534760787665557,sigmoid,
137,svm,dresses-sales,mcc,255,0,0,0.356,0.624137931034483,0.693248949710084,0.631855500821018,0.257203226532414,-2.55073109356993,,0.0566504322149575,sigmoid,283.886000000002,2024-07-11T01:26:17.263731Z,-6.90875477931524,1.66308056781656e-11,FALSE,0.078024601859366,1.05828580310382,sigmoid,
144,svm,banknote-authentication,ce,6,0,0,0,1,0.0034335230804444,1,1,-0.930078269508124,,-1.37637593993581,radial,441.824,2024-07-10T21:58:57.420743Z,-6.90875477931522,,,0.394522830055271,0.252491942937105,radial,
151,svm,banknote-authentication,bacc,3,0,0,0,1,0.00317482512675788,1,1,5.74068258810709,,2.35637578886172,radial,341.163,2024-07-10T21:52:36.641744Z,-6.90875477931533,,,311.276812331939,10.5526370798408,radial,
158,svm,banknote-authentication,logloss,176,0,0,0,1,0.00186878131689573,1,1,5.94327683039281,,1.48408619112557,radial,354.394000000002,2024-07-10T23:44:12.692473Z,-6.90875477931522,0.000160032373168364,FALSE,381.181953890352,4.41093282099379,radial,
165,svm,banknote-authentication,auc,2,0,0,0.0801914736062626,0.909836065573771,0.16349410248335,1,0.846954242102204,5.30602359366171,,5.10861524541123,radial,384.84,2024-07-10T21:51:50.509750Z,-6.9087547793153,,,201.547199300518,165.441100856505,radial,
172,svm,banknote-authentication,mcc,1,0,0,0,1,0.00384907496711094,1,1,5.64141182268083,,-2.20324644549137,radial,291.984,2024-07-10T21:51:06.731750Z,-6.90875477931533,,,281.860374568926,0.11044402521695,radial,
179,svm,diabetes,ce,334,0,0,0.216182501708818,0.737025641025641,0.473877753043615,0.839301994301994,0.508028353023795,-0.0903224320814777,,-3.29906314105841,radial,164.805000000004,2024-07-11T01:18:10.458995Z,-6.90875477931531,4.85155537901751e-05,FALSE,0.913636552038989,0.0369177379177343,radial,
186,svm,diabetes,bacc,165,0,0,0.234347231715653,0.752558404558405,0.538402097138583,0.820119658119658,0.498249712674091,-5.39472858416067,,-9.18244497002184,radial,347.453999999999,2024-07-10T23:49:17.089380Z,-6.90875477931523,7.8167106134212e-06,FALSE,0.00454045258232461,0.000102828812186818,radial,
193,svm,diabetes,logloss,163,0,0,0.220112781954887,0.734877492877493,0.470760871292109,0.838726495726496,0.500153200881898,-0.255971491296442,,-3.4290252456559,radial,290.776000000004,2024-07-10T23:41:29.573270Z,-6.90875477931532,4.3302707545766e-07,FALSE,0.774164038890742,0.0324185254752798,radial,
200,svm,diabetes,auc,297,0,0,0.221394395078606,0.732102564102564,0.474640092248975,0.840336182336182,0.496669925733748,0.103297779621156,,-3.33040502501212,radial,254.904000000004,2024-07-11T00:50:42.380656Z,-6.90875477931531,6.079781587601e-05,FALSE,1.1088215443792,0.0357786109002896,radial,
207,svm,diabetes,mcc,153,0,0,0.21877990430622,0.73680056980057,0.475841770419702,0.83539886039886,0.503847434964228,-1.65105596101778,,-3.00348495459001,radial,266.222,2024-07-10T23:35:06.303666Z,-6.90875477931525,1.93358476415297e-05,FALSE,0.191847218439082,0.0496138646742309,radial,
214,svm,breast-w,ce,62,0,0,0.0300414078674948,0.96918961352657,0.0972177599338432,0.994197987117552,0.934976222420581,-6.4575979200909,,,linear,368.152999999999,2024-07-10T22:27:49.581323Z,-6.90875477931522,,,0.00156855899277494,,linear,
221,svm,breast-w,bacc,101,0,0,0.0300414078674948,0.973091787439613,0.126819302657271,0.993833977455717,0.935919779861464,-8.96635507516472,,-4.83026319599612,sigmoid,318.816000000003,2024-07-10T22:56:14.012830Z,-6.90875477931523,0.000139146893829711,FALSE,0.000127632556429609,0.00798441952213282,sigmoid,
228,svm,breast-w,logloss,164,0,0,0.0357556935817805,0.960856280193237,0.0908987449509416,0.994837761674718,0.922292499107319,1.84227591186522,,-6.10018793134582,radial,216.685000000001,2024-07-10T23:37:04.679759Z,-6.90875477931521,7.77656498164105e-05,FALSE,6.31088494686827,0.00224244625394133,radial,
