job_id,learner,task,measure,batch_nr,errors,warnings,ce,bacc,logloss,auc,mcc,min.bucket,min.node.size,mtry.ratio,replace,sample.fraction,runtime_learners,timestamp,y_trafo,acq_log_ei,.already_evaluated,x_domain_min.bucket,x_domain_min.node.size,x_domain_mtry.ratio,x_domain_replace,x_domain_sample.fraction
101,ranger,ilpd,mcc,465,0,0,0.267592051431911,0.604460869713739,0.532969259269123,0.726299361207898,0.26946731703266,11,40,0.905278456863016,FALSE,0.942183406162076,187.299000000003,2024-07-11T02:08:27.556031Z,-6.90875477931517,2.56971493101166e-14,FALSE,11,40,0.905278456863016,FALSE,0.942183406162076
108,ranger,dresses-sales,ce,290,0,0,0.362,0.584154351395731,0.658337317941992,0.62183908045977,0.234154667609016,4,26,0.249078060034663,TRUE,0.307263880316168,220.205000000002,2024-07-11T00:54:50.961044Z,-6.90875477931512,1.08197350736325e-05,FALSE,4,26,0.249078060034663,TRUE,0.307263880316168
115,ranger,dresses-sales,bacc,204,0,0,0.356,0.599835796387521,0.660076643719209,0.613464696223317,0.247773660720166,1,16,0.99026882997714,TRUE,0.150777834490873,360.794000000002,2024-07-11T00:06:50.651575Z,-6.90875477931556,6.53395334476859e-05,FALSE,1,16,0.99026882997714,TRUE,0.150777834490873
122,ranger,dresses-sales,logloss,180,0,0,0.38,0.570607553366174,0.656192598919547,0.62824302134647,0.18514040691096,3,50,0.251881164964288,TRUE,0.592928063147701,422.364999999999,2024-07-10T23:52:30.951472Z,-6.90875477931471,7.18460397403219e-07,FALSE,3,50,0.251881164964288,TRUE,0.592928063147701
129,ranger,dresses-sales,auc,285,0,0,0.408,0.514285714285714,0.668443480991346,0.645812807881773,0.0682283761624829,4,50,0.234853970818222,TRUE,0.113708660053089,253.076000000005,2024-07-11T00:58:04.081Z,-6.90875477931553,4.95602630361525e-13,FALSE,4,50,0.234853970818222,TRUE,0.113708660053089
136,ranger,dresses-sales,mcc,21,0,0,0.364,0.580459770114943,0.660574689058,0.61576354679803,0.234892353878905,8,29,0.429399349080399,TRUE,0.337870772388019,477.745999999999,2024-07-10T22:11:57.693462Z,-6.90875477931517,,,8,29,0.429399349080399,TRUE,0.337870772388019
143,ranger,banknote-authentication,ce,142,0,0,0.00436898339151592,0.995907942359625,0.0212913988606037,0.999828277848123,0.991251046020095,1,3,0.720996843185276,FALSE,0.971142506320029,632.694,2024-07-10T23:58:59.174053Z,-6.90875477931522,7.36809708083615e-05,FALSE,1,3,0.720996843185276,FALSE,0.971142506320029
150,ranger,banknote-authentication,bacc,141,0,0,0.00436898339151592,0.995907942359625,0.0205194194741166,0.999849848167363,0.991251046020095,1,2,0.670192095916718,FALSE,0.991628404054791,344.915999999998,2024-07-10T23:20:27.877107Z,-6.90875477931536,0.000138781690713403,FALSE,1,2,0.670192095916718,FALSE,0.991628404054791
157,ranger,banknote-authentication,logloss,494,0,0,0.00582883740611446,0.994430375491635,0.0194861622237873,0.999871418486604,0.988317417694516,1,1,0.662222520681098,FALSE,0.920981035078876,168.043000000012,2024-07-11T02:40:01.225905Z,-6.90875477931522,1.2431319015469e-06,FALSE,1,1,0.662222520681098,FALSE,0.920981035078876
164,ranger,banknote-authentication,auc,136,0,0,0.00727282344229345,0.993140218280425,0.0361218415091108,1,0.985514679351421,1,2,0.00100984214805067,FALSE,0.84661132178735,294.649000000001,2024-07-10T23:19:02.010643Z,-6.90875477931638,0.000126206250259599,FALSE,1,2,0.00100984214805067,FALSE,0.84661132178735
171,ranger,banknote-authentication,mcc,168,0,0,0.00436898339151592,0.995907942359625,0.0206119385483502,0.999871418486604,0.991251046020095,1,1,0.603424168657512,FALSE,0.933079720963724,351.706000000001,2024-07-10T23:46:34.979373Z,-6.90875477931523,0.000102495952749614,FALSE,1,1,0.603424168657512,FALSE,0.933079720963724
178,ranger,diabetes,ce,438,0,0,0.218814080656186,0.740207977207977,0.475427576830157,0.836205128205128,0.504407197386514,2,3,0.2353981572669,TRUE,0.881401426997036,173.19299999999,2024-07-11T02:09:31.770699Z,-6.90875477931515,3.40287388517673e-05,FALSE,2,3,0.2353981572669,TRUE,0.881401426997036
185,ranger,diabetes,bacc,352,0,0,0.220164046479836,0.750353276353276,0.494849591765279,0.824763532763533,0.509514916667466,1,6,0.46160578285344,FALSE,0.81931182295084,180.219999999994,2024-07-11T01:36:57.669710Z,-6.90875477931531,7.16080400769117e-07,FALSE,1,6,0.46160578285344,FALSE,0.81931182295084
192,ranger,diabetes,logloss,298,0,0,0.233133971291866,0.728356125356125,0.470600412422164,0.839310541310541,0.475332299196216,1,31,0.442561120726168,FALSE,0.612941626599059,285.486000000001,2024-07-11T01:08:02.271140Z,-6.90875477931533,1.70006832133802e-05,FALSE,1,31,0.442561120726168,FALSE,0.612941626599059
