job_id,learner,task,measure,batch_nr,errors,warnings,ce,bacc,logloss,auc,mcc,alpha,lambda,x_domain_alpha,x_domain_lambda,runtime_learners,timestamp,y_trafo,acq_log_ei,.already_evaluated
1,glmnet,blood-transfusion-service-center,ce,194,0,0,0.22590990990991,0.532929136566907,0.483594510967834,0.757722738218094,0.175794710477265,0.341449696570635,-3.34077395290167,0.341449696570635,0.0354095417960296,327.258999999998,2024-07-11T00:08:06.277151Z,-2.29630656036845,0.000192144088727971,FALSE
1,glmnet,blood-transfusion-service-center,ce,195,0,0,0.224576576576577,0.533806329549364,0.483827231330672,0.757929136566908,0.181737422942021,0.391596282599494,-3.38285665946215,0.391596282599494,0.0339503315408626,448.607999999998,2024-07-11T00:08:56.741394Z,-6.90875477931431,0.000192144088727971,FALSE
1,glmnet,blood-transfusion-service-center,ce,196,0,0,0.224576576576577,0.533806329549364,0.484153759727759,0.757934869854375,0.181737422942021,0.353402310516685,-3.30640345437368,0.353402310516685,0.0366477422930503,404.32799999999,2024-07-11T00:09:41.754743Z,-6.90875477931431,0.000192144088727971,FALSE
1,glmnet,blood-transfusion-service-center,ce,197,0,0,0.224576576576577,0.533806329549364,0.484060919347263,0.758124068340787,0.181737422942021,0.323742533801124,-3.27573914783234,0.323742533801124,0.0377889273002888,304.483,2024-07-11T00:10:18.593934Z,-6.90875477931431,0.000192144088727971,FALSE
1,glmnet,blood-transfusion-service-center,ce,198,0,0,0.224576576576577,0.533806329549364,0.483619790546195,0.75792340327944,0.181737422942021,0.415067851077765,-3.42975604401539,0.415067851077765,0.0323948427247568,303.994999999995,2024-07-11T00:10:55.052998Z,-6.90875477931431,0.000177390228146606,FALSE
1,glmnet,blood-transfusion-service-center,ce,199,0,0,0.22590990990991,0.532929136566907,0.48362434999951,0.757625272331155,0.175794710477265,0.296199624193832,-3.27861800692183,0.296199624193832,0.0376802947473816,350.134999999998,2024-07-11T00:11:34.587069Z,-2.29630656036845,0.000208690509654801,FALSE
1,glmnet,blood-transfusion-service-center,ce,200,0,0,0.224576576576577,0.533806329549364,0.483743324377721,0.75802086916638,0.181737422942021,0.362273954320699,-3.35373983913026,0.362273954320699,0.0349533893067934,515.023999999992,2024-07-11T00:12:32.373661Z,,0.000192144088727971,FALSE
8,glmnet,blood-transfusion-service-center,bacc,1,0,0,0.237945945945946,0.5,0.538366089122718,0.69958433665864,0,0.790464790961705,-2.06493654033866,0.790464790961705,0.126826338669128,306.665,2024-07-10T21:51:08.219793Z,0,,
8,glmnet,blood-transfusion-service-center,bacc,2,0,0,0.228576576576577,0.546706226350189,0.477105496631668,0.753835569315446,0.183319939735615,0.106185721927322,-6.47837175488577,0.106185721927322,0.00153631013337894,412.357,2024-07-10T21:51:54.464876Z,-6.90875477931567,,
8,glmnet,blood-transfusion-service-center,bacc,3,0,0,0.237945945945946,0.5,0.548711476862306,0.5,0,0.851704388591461,0.801257532790554,0.851704388591461,2.22834137964729,395.344,2024-07-10T21:52:41.940282Z,0,,
8,glmnet,blood-transfusion-service-center,bacc,4,0,0,0.228576576576577,0.546706226350189,0.477174660646203,0.753732370141039,0.183319939735615,0.431442814250477,-7.33186565456782,0.431442814250477,0.000654351653475806,448.443,2024-07-10T21:53:29.476967Z,-6.90875477931567,,
